"id","question_id","option_id","student_id","content","project_id","table_id","times","year","del_flag","create_by","create_time","update_by","update_time","remark"
"18660","233003","0","210102108535812","15.00","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18661","233007","0","210102108535812","0.00","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18662","233006","0","210102108535812","0.00","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18663","233004","0","210102108535812","1.00","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18664","233011","0","210102108535812","15.0","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18665","233010","0","210102108535812","0","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18666","233009","0","210102108535812","0","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18667","233012","0","210102108535812","1.0","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18668","233019","0","210102108535812","中","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18669","233018","0","210102108535812","","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18670","233017","23301702","210102108535812","2","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18671","233016","23301602","210102108535812","2","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18672","233021","0","210102108535812","21/10/2025","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18673","233020","0","210102108535812","一下子","2","5","1","2025","0","","21/10/2025 15:45:14","",,
"18674","233014","0","210102108535812","117","2","5","1","2025","0","","21/10/2025 15:45:15","",,
"18675","230003","0","210102108535812","2101","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18676","230002","0","210102108535812","21","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18677","230001","0","210102108535812","210102108535812","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18678","230006","0","210102108535812",,"2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18679","230005","23000501","210102108535812","1","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18680","230004","0","210102108535812","210102","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18681","230011","23001102","210102108535812","2","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18682","230010","0","210102108535812","5812","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18683","230009","0","210102108535812","53","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18684","230015","0","210102108535812","210102108535812","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18685","239999","0","210102108535812","5.976","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18686","230014","0","210102108535812","30/10/2019","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18687","230012","23001201","210102108535812","1","2","5","1","2025","0","","21/10/2025 15:50:17","",,
"18688","232003","23200304","210102108535812","4","2","5","1","2025","0","","21/10/2025 15:50:18","",,
"18689","232001","0","210102108535812","21/10/2025","2","5","1","2025","0","","21/10/2025 15:50:18","",,
"18690","232010","0","210102108535812","5.0","2","5","1","2025","0","","21/10/2025 15:50:18","",,
"18691","232009","0","210102108535812","5.0","2","5","1","2025","0","","21/10/2025 15:50:18","",,
"18692","232014","0","210102108535812","一下子","2","5","1","2025","0","","21/10/2025 15:50:18","",,
