"id","question_id","option_id","code","content","project_id","table_id","year","del_flag","create_by","create_time","update_by","update_time","remark"
"21125","987",,"210103205","21","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21126","988",,"210103205","2101","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21127","990",,"210103205","210103","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21128","992",,"210103205","05","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21129","986",,"210103205","210103205","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21130","1997",,"210103205","210103205","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21131","991","1828","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21132","1279",,"210103205","1","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21133","1280",,"210103205","1","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21134","1009",,"210103205","7","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21135","1010",,"210103205","7","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21136","1013",,"210103205","7","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21137","1282","2560","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21138","1283","2562","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21139","1284","2564","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21140","1285","2566","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21141","1286","2568","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21142","1287","2570","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21143","998","1836","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21144","1006","1858","210103205","1","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21145","1014","1866","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21146","1015","1868","210103205","1","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21147","3999","1774","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21148","1027","1891","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21149","1028","1893","210103205","1","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21150","3728","10002","210103205","1","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21151","3730","10010","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21152","3731","10012","210103205","2","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21153","1281",,"210103205","21/08/2025","2","10","2025","2","shjk","21/8/2025 16:13:48","",,
"21154","987",,"210103205","21","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21155","988",,"210103205","2101","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21156","990",,"210103205","210103","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21157","992",,"210103205","05","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21158","986",,"210103205","210103205","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21159","1997",,"210103205","210103205","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21160","991","1828","210103205","2","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21161","3988",,"210103205","21","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21162","3989",,"210103205","21","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21163","3990",,"210103205","21","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21164","3991",,"210103205","21","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21165","3992",,"210103205","21","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21166","3993",,"210103205","22","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21167","39881",,"210103205","04","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21168","39891",,"210103205","01","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21169","39901",,"210103205","02","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21170","39911",,"210103205","03","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21171","39921",,"210103205","06","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21172","39931",,"210103205","01","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21173","39882",,"210103205","21年级04班级","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21174","39892",,"210103205","21年级01班级","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21175","39902",,"210103205","21年级02班级","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21176","39912",,"210103205","21年级03班级","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21177","39922",,"210103205","21年级06班级","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21178","39932",,"210103205","22年级01班级","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21179","1279",,"210103205","1","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21180","1280",,"210103205","1","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21181","3976",,"210103205","1","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21182","3977",,"210103205","1","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21183","3978",,"210103205","1","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21184","3979",,"210103205","1","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21185","3980",,"210103205","1","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21186","3981",,"210103205","1","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21187","3760",,"210103205","10","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21188","3764",,"210103205","10","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21189","3768",,"210103205","10","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21190","3772",,"210103205","10","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
"21191","3776",,"210103205","10","2","10","2025","0","shjk","21/8/2025 16:13:48","shjk","21/8/2025 16:36:51",
